"date","geo","parent_sector","naics","value"
2010-01-01,"Alberta","all industries","Total employed, all industries",2012200
2010-01-01,"Alberta","total goods","Goods-producing sector",525000
2010-01-01,"Alberta","goods","Agriculture",55000
2010-01-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",135900
2010-01-01,"Alberta","goods","Utilities",18800
2010-01-01,"Alberta","goods","Construction",193800
2010-01-01,"Alberta","goods","Manufacturing",121500
2010-01-01,"Alberta","total services","Services-producing sector",1487200
2010-01-01,"Alberta","services","Wholesale and retail trade",308700
2010-01-01,"Alberta","services","Transportation and warehousing",103100
2010-01-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",111100
2010-01-01,"Alberta","services","Professional, scientific and technical services",146000
2010-01-01,"Alberta","services","Business, building and other support services",69100
2010-01-01,"Alberta","services","Educational services",131100
2010-01-01,"Alberta","services","Health care and social assistance",209300
2010-01-01,"Alberta","services","Information, culture and recreation",79600
2010-01-01,"Alberta","services","Accommodation and food services",134600
2010-01-01,"Alberta","services","Other services (except public administration)",103700
2010-01-01,"Alberta","services","Public administration",91000
2010-02-01,"Alberta","all industries","Total employed, all industries",2009000
2010-02-01,"Alberta","total goods","Goods-producing sector",529400
2010-02-01,"Alberta","goods","Agriculture",50700
2010-02-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",139500
2010-02-01,"Alberta","goods","Utilities",17800
2010-02-01,"Alberta","goods","Construction",191400
2010-02-01,"Alberta","goods","Manufacturing",130000
2010-02-01,"Alberta","total services","Services-producing sector",1479600
2010-02-01,"Alberta","services","Wholesale and retail trade",302800
2010-02-01,"Alberta","services","Transportation and warehousing",106100
2010-02-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",110600
2010-02-01,"Alberta","services","Professional, scientific and technical services",145900
2010-02-01,"Alberta","services","Business, building and other support services",69200
2010-02-01,"Alberta","services","Educational services",125000
2010-02-01,"Alberta","services","Health care and social assistance",209600
2010-02-01,"Alberta","services","Information, culture and recreation",77000
2010-02-01,"Alberta","services","Accommodation and food services",136900
2010-02-01,"Alberta","services","Other services (except public administration)",103400
2010-02-01,"Alberta","services","Public administration",93100
2010-03-01,"Alberta","all industries","Total employed, all industries",2013800
2010-03-01,"Alberta","total goods","Goods-producing sector",522800
2010-03-01,"Alberta","goods","Agriculture",53900
2010-03-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",139500
2010-03-01,"Alberta","goods","Utilities",17200
2010-03-01,"Alberta","goods","Construction",189300
2010-03-01,"Alberta","goods","Manufacturing",122900
2010-03-01,"Alberta","total services","Services-producing sector",1491000
2010-03-01,"Alberta","services","Wholesale and retail trade",304300
2010-03-01,"Alberta","services","Transportation and warehousing",107600
2010-03-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",108000
2010-03-01,"Alberta","services","Professional, scientific and technical services",150800
2010-03-01,"Alberta","services","Business, building and other support services",69300
2010-03-01,"Alberta","services","Educational services",125900
2010-03-01,"Alberta","services","Health care and social assistance",212900
2010-03-01,"Alberta","services","Information, culture and recreation",79300
2010-03-01,"Alberta","services","Accommodation and food services",140900
2010-03-01,"Alberta","services","Other services (except public administration)",98700
2010-03-01,"Alberta","services","Public administration",93300
2010-04-01,"Alberta","all industries","Total employed, all industries",2025200
2010-04-01,"Alberta","total goods","Goods-producing sector",526800
2010-04-01,"Alberta","goods","Agriculture",52200
2010-04-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",136700
2010-04-01,"Alberta","goods","Utilities",16800
2010-04-01,"Alberta","goods","Construction",198700
2010-04-01,"Alberta","goods","Manufacturing",122500
2010-04-01,"Alberta","total services","Services-producing sector",1498400
2010-04-01,"Alberta","services","Wholesale and retail trade",313200
2010-04-01,"Alberta","services","Transportation and warehousing",106100
