"date","year","GEO","naics","value"
2010-01-01,2010,"Alberta","Total employed, all industries",2012200
2010-01-01,2010,"Alberta","Goods-producing sector",525000
2010-01-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",55000
2010-01-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",135900
2010-01-01,2010,"Alberta","Utilities [22]",18800
2010-01-01,2010,"Alberta","Construction [23]",193800
2010-01-01,2010,"Alberta","Manufacturing [31-33]",121500
2010-01-01,2010,"Alberta","Services-producing sector",1487200
2010-01-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",308700
2010-01-01,2010,"Alberta","Transportation and warehousing [48-49]",103100
2010-01-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",111100
2010-01-01,2010,"Alberta","Professional, scientific and technical services [54]",146000
2010-01-01,2010,"Alberta","Business, building and other support services [55-56]",69100
2010-01-01,2010,"Alberta","Educational services [61]",131100
2010-01-01,2010,"Alberta","Health care and social assistance [62]",209300
2010-01-01,2010,"Alberta","Information, culture and recreation [51, 71]",79600
2010-01-01,2010,"Alberta","Accommodation and food services [72]",134600
2010-01-01,2010,"Alberta","Other services (except public administration) [81]",103700
2010-01-01,2010,"Alberta","Public administration [91]",91000
2010-02-01,2010,"Alberta","Total employed, all industries",2009000
2010-02-01,2010,"Alberta","Goods-producing sector",529400
2010-02-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",50700
2010-02-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",139500
2010-02-01,2010,"Alberta","Utilities [22]",17800
2010-02-01,2010,"Alberta","Construction [23]",191400
2010-02-01,2010,"Alberta","Manufacturing [31-33]",130000
2010-02-01,2010,"Alberta","Services-producing sector",1479600
2010-02-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",302800
2010-02-01,2010,"Alberta","Transportation and warehousing [48-49]",106100
2010-02-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",110600
2010-02-01,2010,"Alberta","Professional, scientific and technical services [54]",145900
2010-02-01,2010,"Alberta","Business, building and other support services [55-56]",69200
2010-02-01,2010,"Alberta","Educational services [61]",125000
2010-02-01,2010,"Alberta","Health care and social assistance [62]",209600
2010-02-01,2010,"Alberta","Information, culture and recreation [51, 71]",77000
2010-02-01,2010,"Alberta","Accommodation and food services [72]",136900
2010-02-01,2010,"Alberta","Other services (except public administration) [81]",103400
2010-02-01,2010,"Alberta","Public administration [91]",93100
2010-03-01,2010,"Alberta","Total employed, all industries",2013800
2010-03-01,2010,"Alberta","Goods-producing sector",522800
2010-03-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",53900
2010-03-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",139500
2010-03-01,2010,"Alberta","Utilities [22]",17200
2010-03-01,2010,"Alberta","Construction [23]",189300
2010-03-01,2010,"Alberta","Manufacturing [31-33]",122900
2010-03-01,2010,"Alberta","Services-producing sector",1491000
2010-03-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",304300
2010-03-01,2010,"Alberta","Transportation and warehousing [48-49]",107600
2010-03-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",108000
2010-03-01,2010,"Alberta","Professional, scientific and technical services [54]",150800
2010-03-01,2010,"Alberta","Business, building and other support services [55-56]",69300
2010-03-01,2010,"Alberta","Educational services [61]",125900
2010-03-01,2010,"Alberta","Health care and social assistance [62]",212900
2010-03-01,2010,"Alberta","Information, culture and recreation [51, 71]",79300
2010-03-01,2010,"Alberta","Accommodation and food services [72]",140900
2010-03-01,2010,"Alberta","Other services (except public administration) [81]",98700
2010-03-01,2010,"Alberta","Public administration [91]",93300
2010-04-01,2010,"Alberta","Total employed, all industries",2025200
2010-04-01,2010,"Alberta","Goods-producing sector",526800
2010-04-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",52200
2010-04-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",136700
2010-04-01,2010,"Alberta","Utilities [22]",16800
2010-04-01,2010,"Alberta","Construction [23]",198700
2010-04-01,2010,"Alberta","Manufacturing [31-33]",122500
2010-04-01,2010,"Alberta","Services-producing sector",1498400
2010-04-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",313200
2010-04-01,2010,"Alberta","Transportation and warehousing [48-49]",106100
2010-04-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",109600
2010-04-01,2010,"Alberta","Professional, scientific and technical services [54]",150700
2010-04-01,2010,"Alberta","Business, building and other support services [55-56]",71100
2010-04-01,2010,"Alberta","Educational services [61]",125100
2010-04-01,2010,"Alberta","Health care and social assistance [62]",211600
2010-04-01,2010,"Alberta","Information, culture and recreation [51, 71]",82600
2010-04-01,2010,"Alberta","Accommodation and food services [72]",135900
2010-04-01,2010,"Alberta","Other services (except public administration) [81]",99700
2010-04-01,2010,"Alberta","Public administration [91]",92800
2010-05-01,2010,"Alberta","Total employed, all industries",2027000
2010-05-01,2010,"Alberta","Goods-producing sector",535900
2010-05-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",53200
2010-05-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",137900
2010-05-01,2010,"Alberta","Utilities [22]",17600
2010-05-01,2010,"Alberta","Construction [23]",198100
2010-05-01,2010,"Alberta","Manufacturing [31-33]",129100
2010-05-01,2010,"Alberta","Services-producing sector",1491000
2010-05-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",311500
2010-05-01,2010,"Alberta","Transportation and warehousing [48-49]",109200
2010-05-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",109400
